customer_id,company_name,industry,company_size,account_manager,login_frequency_30d,support_tickets_90d,usage_drop_pct,payment_late_count,nps_score,tenure_months,latest_ticket_text,churned
CUS-00000,Acme Corp 0,Retail,SMB,AM-1,3,0,32.2,2,7,51,Feature gap vs roadmap promises; escalation requested.,0
CUS-00067,Acme Corp 67,SaaS,SMB,AM-4,14,3,4.7,0,7,20,Onboarding incomplete; champion left the company.,0
CUS-00068,Acme Corp 68,Finance,SMB,AM-5,3,11,39.9,2,3,33,Competitor demo scheduled; pricing feels high.,1
CUS-00069,Acme Corp 69,SaaS,Mid-Market,AM-6,18,0,8.7,1,2,17,Product downtime last week; team lost confidence.,0
CUS-00070,Acme Corp 70,Manufacturing,SMB,AM-7,31,3,12.8,0,7,36,Feature gap vs roadmap promises; escalation requested.,0
CUS-00071,Acme Corp 71,Retail,Mid-Market,AM-8,7,5,-7.3,0,1,28,Onboarding incomplete; champion left the company.,0
CUS-00072,Acme Corp 72,Manufacturing,SMB,AM-1,18,5,0.7,2,5,48,Product downtime last week; team lost confidence.,1
CUS-00073,Acme Corp 73,Manufacturing,SMB,AM-2,5,5,72.5,0,9,11,Product downtime last week; team lost confidence.,1
CUS-00074,Acme Corp 74,Manufacturing,Enterprise,AM-3,27,1,18.9,3,7,4,Onboarding incomplete; champion left the company.,0
CUS-00075,Acme Corp 75,Manufacturing,SMB,AM-4,19,2,44.7,2,8,32,Feature gap vs roadmap promises; escalation requested.,1
CUS-00076,Acme Corp 76,Finance,Enterprise,AM-5,13,1,31.9,1,0,16,Billing confusion after plan change; waiting on refund.,1
CUS-00077,Acme Corp 77,Manufacturing,SMB,AM-6,9,6,26.0,3,2,42,Onboarding incomplete; champion left the company.,1
CUS-00078,Acme Corp 78,Finance,SMB,AM-7,22,4,37.9,2,3,6,Feature gap vs roadmap promises; escalation requested.,1
CUS-00079,Acme Corp 79,Retail,SMB,AM-8,26,6,6.9,3,3,34,Onboarding incomplete; champion left the company.,1
CUS-00080,Acme Corp 80,Healthcare,SMB,AM-1,37,7,79.0,3,2,59,Onboarding incomplete; champion left the company.,1
CUS-00081,Acme Corp 81,Healthcare,Mid-Market,AM-2,17,8,63.6,0,10,6,Product downtime last week; team lost confidence.,1
CUS-00082,Acme Corp 82,Manufacturing,SMB,AM-3,6,6,56.7,1,1,18,Billing confusion after plan change; waiting on refund.,1
CUS-00083,Acme Corp 83,Retail,Mid-Market,AM-4,33,7,32.2,2,7,50,Competitor demo scheduled; pricing feels high.,0
CUS-00084,Acme Corp 84,SaaS,Enterprise,AM-5,25,7,3.8,4,6,32,Feature gap vs roadmap promises; escalation requested.,1
CUS-00085,Acme Corp 85,Healthcare,SMB,AM-6,28,7,72.9,0,6,11,Onboarding incomplete; champion left the company.,1
CUS-00086,Acme Corp 86,Finance,SMB,AM-7,3,7,20.7,0,2,13,Onboarding incomplete; champion left the company.,1
CUS-00087,Acme Corp 87,Manufacturing,SMB,AM-8,12,3,-5.5,4,3,46,Billing confusion after plan change; waiting on refund.,1
CUS-00088,Acme Corp 88,Manufacturing,Mid-Market,AM-1,30,2,20.8,4,6,51,Feature gap vs roadmap promises; escalation requested.,0
CUS-00089,Acme Corp 89,SaaS,Mid-Market,AM-2,33,9,61.5,0,3,22,Feature gap vs roadmap promises; escalation requested.,1
CUS-00090,Acme Corp 90,SaaS,SMB,AM-3,17,4,46.0,2,7,28,Feature gap vs roadmap promises; escalation requested.,1
CUS-00091,Acme Corp 91,Healthcare,Mid-Market,AM-4,32,6,57.6,3,0,47,Product downtime last week; team lost confidence.,1
CUS-00092,Acme Corp 92,Finance,Mid-Market,AM-5,33,2,61.4,0,0,11,Competitor demo scheduled; pricing feels high.,0
CUS-00093,Acme Corp 93,Retail,SMB,AM-6,15,5,9.1,1,8,13,Onboarding incomplete; champion left the company.,0
CUS-00094,Acme Corp 94,Manufacturing,SMB,AM-7,35,6,73.1,1,6,46,Product downtime last week; team lost confidence.,1
CUS-00095,Acme Corp 95,Retail,Enterprise,AM-8,11,7,29.4,3,0,12,Product downtime last week; team lost confidence.,1
CUS-00096,Acme Corp 96,Retail,SMB,AM-1,9,6,47.5,1,9,46,Product downtime last week; team lost confidence.,1
CUS-00097,Acme Corp 97,Manufacturing,SMB,AM-2,27,4,-9.8,2,0,30,Onboarding incomplete; champion left the company.,0
CUS-00098,Acme Corp 98,Finance,SMB,AM-3,25,11,79.4,1,10,59,Billing confusion after plan change; waiting on refund.,1
CUS-00099,Acme Corp 99,Retail,Mid-Market,AM-4,5,6,15.3,3,8,2,Competitor demo scheduled; pricing feels high.,1
CUS-00100,Acme Corp 100,Retail,SMB,AM-5,33,9,-4.4,0,10,56,Onboarding incomplete; champion left the company.,0
CUS-00101,Acme Corp 101,Finance,SMB,AM-6,7,8,31.2,1,10,14,Feature gap vs roadmap promises; escalation requested.,1
CUS-00102,Acme Corp 102,Healthcare,SMB,AM-7,32,6,1.6,1,3,3,Product downtime last week; team lost confidence.,0
CUS-00103,Acme Corp 103,Finance,Mid-Market,AM-8,0,10,3.7,4,8,43,Billing confusion after plan change; waiting on refund.,1
CUS-00104,Acme Corp 104,Retail,SMB,AM-1,31,1,46.9,4,2,32,Product downtime last week; team lost confidence.,0
CUS-00105,Acme Corp 105,Finance,Enterprise,AM-2,31,11,25.4,2,5,50,Feature gap vs roadmap promises; escalation requested.,1
CUS-00106,Acme Corp 106,Retail,SMB,AM-3,31,10,73.0,0,2,7,Product downtime last week; team lost confidence.,1
CUS-00107,Acme Corp 107,Manufacturing,SMB,AM-4,26,6,18.7,3,5,5,Competitor demo scheduled; pricing feels high.,0
CUS-00108,Acme Corp 108,Healthcare,Enterprise,AM-5,18,8,55.4,2,9,34,Feature gap vs roadmap promises; escalation requested.,1
CUS-00109,Acme Corp 109,Manufacturing,Enterprise,AM-6,28,6,31.5,4,4,53,Product downtime last week; team lost confidence.,0
CUS-00110,Acme Corp 110,Healthcare,SMB,AM-7,11,3,49.4,1,1,24,Competitor demo scheduled; pricing feels high.,1
CUS-00111,Acme Corp 111,Manufacturing,Enterprise,AM-8,31,9,44.0,4,3,48,Product downtime last week; team lost confidence.,1
CUS-00112,Acme Corp 112,Manufacturing,Mid-Market,AM-1,22,2,32.6,4,8,54,Product downtime last week; team lost confidence.,0
CUS-00113,Acme Corp 113,Retail,SMB,AM-2,18,3,75.5,1,5,52,Product downtime last week; team lost confidence.,1
CUS-00114,Acme Corp 114,Retail,Enterprise,AM-3,20,6,20.8,3,6,31,Competitor demo scheduled; pricing feels high.,0
CUS-00115,Acme Corp 115,Healthcare,Mid-Market,AM-4,22,10,6.0,1,4,42,Feature gap vs roadmap promises; escalation requested.,0
CUS-00116,Acme Corp 116,Manufacturing,SMB,AM-5,1,4,51.0,1,3,32,Product downtime last week; team lost confidence.,1
CUS-00117,Acme Corp 117,Retail,Mid-Market,AM-6,5,5,66.1,1,6,40,Product downtime last week; team lost confidence.,1
CUS-00118,Acme Corp 118,Retail,SMB,AM-7,9,0,-6.4,3,6,34,Feature gap vs roadmap promises; escalation requested.,1
CUS-00119,Acme Corp 119,SaaS,SMB,AM-8,4,1,30.5,1,9,31,Onboarding incomplete; champion left the company.,0
CUS-00120,Acme Corp 120,SaaS,Enterprise,AM-1,17,0,70.3,3,6,26,Onboarding incomplete; champion left the company.,1
CUS-00121,Acme Corp 121,SaaS,Mid-Market,AM-2,26,0,57.5,2,10,39,Competitor demo scheduled; pricing feels high.,0
CUS-00122,Acme Corp 122,Finance,Mid-Market,AM-3,26,10,79.3,3,9,45,Billing confusion after plan change; waiting on refund.,1
CUS-00123,Acme Corp 123,Finance,Mid-Market,AM-4,18,10,37.8,4,0,55,Feature gap vs roadmap promises; escalation requested.,1
CUS-00124,Acme Corp 124,SaaS,Mid-Market,AM-5,34,9,49.4,0,4,37,Product downtime last week; team lost confidence.,1
CUS-00125,Acme Corp 125,SaaS,SMB,AM-6,22,0,17.2,4,4,6,Competitor demo scheduled; pricing feels high.,1
CUS-00126,Acme Corp 126,Manufacturing,Enterprise,AM-7,3,0,75.3,0,0,35,Onboarding incomplete; champion left the company.,1
CUS-00127,Acme Corp 127,Retail,Mid-Market,AM-8,30,3,23.0,2,1,19,Competitor demo scheduled; pricing feels high.,0
CUS-00128,Acme Corp 128,Healthcare,Mid-Market,AM-1,22,6,56.5,1,8,2,Competitor demo scheduled; pricing feels high.,1
CUS-00129,Acme Corp 129,Manufacturing,Mid-Market,AM-2,25,4,26.3,3,3,5,Billing confusion after plan change; waiting on refund.,1
CUS-00130,Acme Corp 130,Healthcare,SMB,AM-3,22,5,40.6,3,1,35,Billing confusion after plan change; waiting on refund.,1
CUS-00131,Acme Corp 131,SaaS,SMB,AM-4,22,2,54.8,4,3,56,Feature gap vs roadmap promises; escalation requested.,1
CUS-00132,Acme Corp 132,Healthcare,SMB,AM-5,3,8,35.8,2,3,30,Onboarding incomplete; champion left the company.,1
CUS-00133,Acme Corp 133,Finance,SMB,AM-6,22,3,71.6,4,1,27,Product downtime last week; team lost confidence.,1
CUS-00134,Acme Corp 134,Manufacturing,Mid-Market,AM-7,31,0,27.7,1,1,6,Billing confusion after plan change; waiting on refund.,0
CUS-00135,Acme Corp 135,SaaS,Enterprise,AM-8,12,8,48.2,1,8,40,Billing confusion after plan change; waiting on refund.,1
CUS-00136,Acme Corp 136,Retail,SMB,AM-1,24,10,20.8,1,9,4,Feature gap vs roadmap promises; escalation requested.,1
CUS-00137,Acme Corp 137,Finance,SMB,AM-2,1,0,26.7,2,5,50,Feature gap vs roadmap promises; escalation requested.,1
CUS-00138,Acme Corp 138,Finance,Mid-Market,AM-3,13,5,29.6,3,6,49,Product downtime last week; team lost confidence.,1
CUS-00139,Acme Corp 139,Manufacturing,SMB,AM-4,17,9,1.3,4,10,59,Product downtime last week; team lost confidence.,1
CUS-00140,Acme Corp 140,SaaS,Enterprise,AM-5,39,8,-1.7,1,9,17,Onboarding incomplete; champion left the company.,0
CUS-00141,Acme Corp 141,Healthcare,SMB,AM-6,8,10,50.1,1,0,10,Billing confusion after plan change; waiting on refund.,1
CUS-00142,Acme Corp 142,Healthcare,SMB,AM-7,11,4,49.0,4,10,18,Onboarding incomplete; champion left the company.,1
CUS-00143,Acme Corp 143,SaaS,SMB,AM-8,16,4,49.7,2,0,48,Competitor demo scheduled; pricing feels high.,1
CUS-00144,Acme Corp 144,SaaS,Enterprise,AM-1,39,8,-8.2,1,0,13,Feature gap vs roadmap promises; escalation requested.,1
CUS-00145,Acme Corp 145,Healthcare,SMB,AM-2,34,1,19.4,4,4,53,Product downtime last week; team lost confidence.,1
CUS-00146,Acme Corp 146,Retail,Mid-Market,AM-3,1,2,7.8,2,8,10,Billing confusion after plan change; waiting on refund.,0
CUS-00147,Acme Corp 147,Healthcare,SMB,AM-4,9,7,60.0,4,0,3,Billing confusion after plan change; waiting on refund.,1
CUS-00148,Acme Corp 148,Retail,SMB,AM-5,32,8,67.5,4,3,13,Product downtime last week; team lost confidence.,1
CUS-00149,Acme Corp 149,Healthcare,Enterprise,AM-6,2,1,12.2,4,2,45,Competitor demo scheduled; pricing feels high.,1
CUS-00150,Acme Corp 150,SaaS,SMB,AM-7,34,6,50.1,2,4,36,Billing confusion after plan change; waiting on refund.,1
CUS-00151,Acme Corp 151,Finance,SMB,AM-8,11,4,1.6,3,10,21,Competitor demo scheduled; pricing feels high.,1
CUS-00152,Acme Corp 152,Retail,Mid-Market,AM-1,36,6,14.8,4,3,39,Onboarding incomplete; champion left the company.,1
CUS-00153,Acme Corp 153,Healthcare,Enterprise,AM-2,11,11,2.5,1,2,39,Competitor demo scheduled; pricing feels high.,1
CUS-00154,Acme Corp 154,Finance,SMB,AM-3,17,0,15.5,0,1,33,Onboarding incomplete; champion left the company.,0
CUS-00155,Acme Corp 155,Finance,SMB,AM-4,26,11,50.7,1,2,31,Billing confusion after plan change; waiting on refund.,1
CUS-00156,Acme Corp 156,Finance,Enterprise,AM-5,5,5,71.9,3,1,6,Billing confusion after plan change; waiting on refund.,1
CUS-00157,Acme Corp 157,SaaS,Mid-Market,AM-6,22,9,8.2,2,6,16,Onboarding incomplete; champion left the company.,1
CUS-00158,Acme Corp 158,Manufacturing,Enterprise,AM-7,20,5,38.8,0,4,32,Onboarding incomplete; champion left the company.,0
CUS-00159,Acme Corp 159,Finance,Mid-Market,AM-8,31,3,53.1,2,5,8,Feature gap vs roadmap promises; escalation requested.,1
CUS-00160,Acme Corp 160,Finance,Mid-Market,AM-1,39,9,75.8,0,9,29,Feature gap vs roadmap promises; escalation requested.,0
CUS-00161,Acme Corp 161,Healthcare,SMB,AM-2,26,8,44.9,2,6,7,Billing confusion after plan change; waiting on refund.,1
CUS-00162,Acme Corp 162,Finance,SMB,AM-3,16,1,13.0,2,1,47,Product downtime last week; team lost confidence.,0
CUS-00163,Acme Corp 163,Retail,Mid-Market,AM-4,16,8,46.3,3,4,7,Product downtime last week; team lost confidence.,1
CUS-00164,Acme Corp 164,Retail,Mid-Market,AM-5,16,9,18.8,2,3,6,Billing confusion after plan change; waiting on refund.,1
CUS-00165,Acme Corp 165,Retail,Enterprise,AM-6,32,4,77.9,2,9,38,Billing confusion after plan change; waiting on refund.,1
CUS-00166,Acme Corp 166,Manufacturing,Mid-Market,AM-7,12,11,26.0,3,3,14,Billing confusion after plan change; waiting on refund.,1
CUS-00167,Acme Corp 167,SaaS,SMB,AM-8,6,7,51.7,3,1,21,Onboarding incomplete; champion left the company.,1
CUS-00168,Acme Corp 168,Retail,Mid-Market,AM-1,13,4,-7.9,4,8,19,Billing confusion after plan change; waiting on refund.,0
CUS-00169,Acme Corp 169,Finance,Mid-Market,AM-2,0,0,26.0,1,4,13,Billing confusion after plan change; waiting on refund.,0
CUS-00170,Acme Corp 170,Retail,SMB,AM-3,4,8,68.8,2,1,45,Billing confusion after plan change; waiting on refund.,1
CUS-00171,Acme Corp 171,Healthcare,Mid-Market,AM-4,3,2,44.9,1,7,41,Competitor demo scheduled; pricing feels high.,0
CUS-00172,Acme Corp 172,SaaS,Mid-Market,AM-5,30,9,30.0,2,2,15,Competitor demo scheduled; pricing feels high.,1
CUS-00173,Acme Corp 173,Retail,SMB,AM-6,28,6,74.2,0,9,41,Feature gap vs roadmap promises; escalation requested.,0
CUS-00174,Acme Corp 174,Manufacturing,Mid-Market,AM-7,27,5,66.9,2,9,43,Billing confusion after plan change; waiting on refund.,0
CUS-00175,Acme Corp 175,Retail,Mid-Market,AM-8,18,1,19.0,0,4,32,Product downtime last week; team lost confidence.,0
CUS-00176,Acme Corp 176,Finance,Enterprise,AM-1,28,8,39.0,2,6,35,Onboarding incomplete; champion left the company.,0
CUS-00177,Acme Corp 177,Manufacturing,SMB,AM-2,6,1,34.1,4,6,56,Competitor demo scheduled; pricing feels high.,1
CUS-00178,Acme Corp 178,Retail,Mid-Market,AM-3,36,5,46.9,4,7,27,Billing confusion after plan change; waiting on refund.,1
CUS-00179,Acme Corp 179,SaaS,Mid-Market,AM-4,20,10,20.1,2,0,23,Product downtime last week; team lost confidence.,1
CUS-00180,Acme Corp 180,Retail,Mid-Market,AM-5,37,11,12.0,0,3,32,Onboarding incomplete; champion left the company.,1
CUS-00181,Acme Corp 181,SaaS,SMB,AM-6,6,11,72.1,1,1,50,Billing confusion after plan change; waiting on refund.,1
CUS-00182,Acme Corp 182,Manufacturing,Enterprise,AM-7,19,11,73.1,0,7,42,Product downtime last week; team lost confidence.,1
CUS-00183,Acme Corp 183,SaaS,Enterprise,AM-8,27,6,65.9,3,0,5,Competitor demo scheduled; pricing feels high.,1
CUS-00184,Acme Corp 184,Finance,Mid-Market,AM-1,19,2,78.0,4,5,28,Onboarding incomplete; champion left the company.,1
CUS-00185,Acme Corp 185,Healthcare,Mid-Market,AM-2,17,10,57.0,2,8,44,Onboarding incomplete; champion left the company.,1
CUS-00186,Acme Corp 186,Retail,SMB,AM-3,6,9,58.8,0,10,14,Onboarding incomplete; champion left the company.,1
CUS-00187,Acme Corp 187,SaaS,Mid-Market,AM-4,15,11,58.6,0,3,59,Feature gap vs roadmap promises; escalation requested.,1
CUS-00188,Acme Corp 188,Healthcare,SMB,AM-5,9,7,33.3,4,0,48,Onboarding incomplete; champion left the company.,1
CUS-00189,Acme Corp 189,Finance,Mid-Market,AM-6,12,1,31.1,1,7,50,Onboarding incomplete; champion left the company.,0
CUS-00190,Acme Corp 190,Healthcare,SMB,AM-7,27,6,11.6,0,0,5,Feature gap vs roadmap promises; escalation requested.,0
CUS-00191,Acme Corp 191,Retail,Mid-Market,AM-8,25,5,48.0,0,0,35,Billing confusion after plan change; waiting on refund.,0
CUS-00192,Acme Corp 192,Finance,SMB,AM-1,24,10,16.0,1,10,32,Billing confusion after plan change; waiting on refund.,1
CUS-00193,Acme Corp 193,Manufacturing,Mid-Market,AM-2,14,4,13.2,3,9,37,Onboarding incomplete; champion left the company.,0
CUS-00194,Acme Corp 194,SaaS,Mid-Market,AM-3,38,3,42.7,4,7,51,Product downtime last week; team lost confidence.,0
CUS-00195,Acme Corp 195,Healthcare,SMB,AM-4,3,0,26.9,1,9,21,Product downtime last week; team lost confidence.,0
CUS-00196,Acme Corp 196,Healthcare,SMB,AM-5,13,10,9.7,3,0,32,Billing confusion after plan change; waiting on refund.,1
CUS-00197,Acme Corp 197,Healthcare,Enterprise,AM-6,4,9,63.4,0,0,41,Feature gap vs roadmap promises; escalation requested.,1
CUS-00198,Acme Corp 198,Healthcare,Mid-Market,AM-7,13,0,67.5,0,3,45,Competitor demo scheduled; pricing feels high.,0
CUS-00199,Acme Corp 199,Retail,SMB,AM-8,38,5,5.1,0,0,46,Competitor demo scheduled; pricing feels high.,0
CUS-00200,Acme Corp 200,Healthcare,SMB,AM-1,14,5,-9.3,4,9,20,Billing confusion after plan change; waiting on refund.,0
CUS-00201,Acme Corp 201,Healthcare,SMB,AM-2,36,5,20.3,2,0,59,Product downtime last week; team lost confidence.,0
CUS-00202,Acme Corp 202,Retail,Mid-Market,AM-3,19,11,61.8,4,5,1,Competitor demo scheduled; pricing feels high.,1
CUS-00203,Acme Corp 203,Healthcare,Mid-Market,AM-4,27,1,65.5,0,9,30,Onboarding incomplete; champion left the company.,0
CUS-00204,Acme Corp 204,Healthcare,SMB,AM-5,18,3,2.4,0,8,36,Competitor demo scheduled; pricing feels high.,0
CUS-00205,Acme Corp 205,Retail,Mid-Market,AM-6,10,2,59.7,4,2,4,Competitor demo scheduled; pricing feels high.,1
CUS-00206,Acme Corp 206,Finance,Mid-Market,AM-7,30,2,0.4,0,5,27,Onboarding incomplete; champion left the company.,0
CUS-00207,Acme Corp 207,Retail,Mid-Market,AM-8,38,10,25.1,0,6,36,Competitor demo scheduled; pricing feels high.,0
CUS-00208,Acme Corp 208,Retail,SMB,AM-1,10,11,79.9,2,8,36,Product downtime last week; team lost confidence.,1
